link_URL,adjective_score,important_phrase,Date,District,Category,color
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-at,0.8,Poultry exports slowed in response to lower foreign demand,200901,Atlanta,"Agriculture, Energy, Natural Resources",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-at,-1.1428571428571428,Lending standards at District banks remained tight,200901,Atlanta,Economy,#ca0020
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-at,-0.6,Wakness was fairly widespread,200901,Atlanta,"Employment, Prices, Wages",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-at,2.0,"According to most banking contacts, District lending conditions continued to tighten during mid-November and December",200901,Atlanta,Finance,#0571b0
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-at,-1.5,Export orders also declined--a sharp change from earlier in 2008 when exports were expanding,200901,Atlanta,"Manufacturing, Services",#ca0020
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-at,-1.0,"Reports from homebuilders and Realtors indicated that new and existing home sales were weak from mid-November through December, with most noting that overall sales were down significantly compared with the already low levels of a year earlier",200901,Atlanta,"Real Estate, Construction",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-at,-0.8,Contacts cited both tight consumer credit and overall lower demand as contributing to the weakness,200901,Atlanta,"Retail, Consumer Spending",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-bo,-0.3333333333333333,Business activity in the First District continued to slow at the end of 2008,200901,Boston,Economy,#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-bo,0.6923076923076923,Contacts with a strong competitive position or selling to slow-moving market segments are relatively optimistic and expect little or no revenue growth,200901,Boston,"Manufacturing, Services",#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-bo,-0.1875,Massachusetts condo sales declined 27 percent year-over-year in November,200901,Boston,"Real Estate, Construction",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-bo,-0.2857142857142857,"On average, same-store sales are flat to down by single-digit percentages among contacted retailers",200901,Boston,"Retail, Consumer Spending",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-ch,0.14285714285714285,"Hog prices edged up in December, which, combined with lower feed costs, allowed for an improvement in margins",200901,Chicago,"Agriculture, Energy, Natural Resources",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-ch,-0.22727272727272727,Credit risk concerns persisted and borrowing spreads remained elevated,200901,Chicago,Economy,#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-ch,0.0,Contacts reported increased concern with expenses given declining economic activity and rising uncertainty over the economic outlook,200901,Chicago,"Employment, Prices, Wages",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-ch,-0.5714285714285714,Credit risk concerns persisted and borrowing spreads remained elevated,200901,Chicago,Finance,#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-ch,-0.2222222222222222,Exporters reported that demand from abroad continued to slow,200901,Chicago,"Manufacturing, Services",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-ch,-0.4444444444444444,Residential building continued its steady decline,200901,Chicago,"Real Estate, Construction",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-ch,-0.16666666666666666,Consumer spending decreased in December,200901,Chicago,"Retail, Consumer Spending",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-cl,0.1111111111111111,"Coal producers reported modest staff expansions, with some additional hiring expected in the upcoming months",200901,Cleveland,"Agriculture, Energy, Natural Resources",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-cl,0.14814814814814814,Several firms attributed the slowdown to difficulties in financing projects and uncertainty on the part of clients,200901,Cleveland,Economy,#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-cl,0.7777777777777778,"Overall, core deposits were steady to increasing, with most of the increase attributed to a flight to safety",200901,Cleveland,Finance,#92c5de
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-cl,-0.25,"Product pricing remains relatively stable, with some reductions noted",200901,Cleveland,"Manufacturing, Services",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-cl,-0.14285714285714285,Several firms attributed the slowdown to difficulties in financing projects and uncertainty on the part of clients,200901,Cleveland,"Real Estate, Construction",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-cl,0.18181818181818182,"Other than some seasonal hiring, staffing levels at retail stores were stable",200901,Cleveland,"Retail, Consumer Spending",#D3D3D3
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-da,-0.3333333333333333,"The cotton harvest is about 85 percent complete, and yields are lower than expected",200901,Dallas,"Agriculture, Energy, Natural Resources",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-da,-0.3333333333333333,Bank lending declined due to tighter credit and weaker loan demand,200901,Dallas,Economy,#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-da,-0.45454545454545453,Many contacts reported hiring freezes and reported little if any wage increases,200901,Dallas,"Employment, Prices, Wages",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-da,-0.2222222222222222,The slowdown in loan demand has been broad-based,200901,Dallas,Finance,#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-da,-0.3333333333333333,Accounting and legal firms report that activity was flat to slightly down since the last survey and that receivables are getting slower and harder to collect,200901,Dallas,"Manufacturing, Services",#f4a582
https://www.minneapolisfed.org/news-and-events/beige-book-archive/2009-01-da,-0.1111111111111111,"New construction added units at the same time move-outs increased, leading to increases in vacancy rates",200901,Dallas,"Real Estate, Construction",#D3D3D3
